"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"97" 8 1 0.5 0.7 2 0.9632 0.640110740782004 2
"98" 3 1 2 0.6 1 0.9609 0.640059451137116 2
"99" 8 2 2 0.1 0.25 0.9732 0.64001280775274 2
"100" 7 1 0.5 0.1 1 0.9583 0.639920004189873 2
"101" 4 1 2 0.5 1 0.9625 0.639850982648649 2
"102" 4 1 2 0.5 0.25 0.9587 0.639673690184719 2
"103" 6 1 2 0.6 0.5 0.9631 0.639608870036361 2
"104" 8 1 2 0.1 0.5 0.9601 0.639593512862063 2
"105" 8 1 0.5 0.9 1 0.962 0.639533528496315 2
"106" 8 1 0.125 0.1 512 0.9606 0.639513708164116 2
"107" 8 1 0.5 0.1 1 0.9588 0.639446654013124 2
"108" 7 1 0.125 0.1 8 0.9592 0.63936877929195 2
"109" 8 1 0.5 0.3 16 0.965 0.639338245409827 2
"110" 8 1 2 0.1 4 0.9638 0.638685422128976 2
"111" 5 4 2 0.1 0.5 0.9796 0.638379737512094 1
"112" 8 1 0.5 0.1 2 0.9594 0.638210632478951 2
"113" 8 1 0.5 0.8 1 0.962 0.637977633178005 2
"114" 8 1 0.5 0.1 16 0.961 0.637926841812951 2
"115" 8 1 0.5 0.1 4 0.9601 0.637905346659216 2
"116" 8 1 0.5 0.1 8 0.9606 0.637875311230871 2
"117" 3 1 2 0.8 1 0.9611 0.637779228245288 2
"118" 8 1 2 0.1 1 0.9614 0.637756609689808 2
"119" 8 1 0.5 0.3 8 0.9642 0.637609873213035 2
"120" 7 1 0.5 0.1 2 0.9589 0.637584166087148 2
"121" 8 1 0.5 0.2 16 0.9634 0.637503590203134 2
"122" 4 2 0.5 0.1 512 0.9864 0.637350399067961 2
"123" 8 1 0.125 0.2 1024 0.9638 0.63731982905024 2
"124" 7 1 0.125 0.1 1024 0.9609 0.637165796804612 2
"125" 8 1 0.125 0.3 512 0.9644 0.637142609658458 2
"126" 8 1 0.5 0.2 8 0.9624 0.637132311097458 2
"127" 4 2 2 0.4 128 0.9899 0.637067558768159 2
"128" 8 1 0.125 0.4 128 0.9636 0.636713794048802 2
"129" 8 3 0.5 0.2 512 0.9924 0.63655176943788 2
"130" 8 1 0.5 0.5 8 0.9652 0.636442958412865 2
"131" 7 1 0.5 0.8 0.25 0.9583 0.636392257449056 2
"132" 8 1 0.03125 0.1 10000 0.9604 0.636382786536513 2
"133" 7 1 0.5 0.3 16 0.9639 0.63615294099924 2
"134" 8 1 2 0.6 0.5 0.9661 0.636066452678266 2
"135" 8 1 2 0.2 0.5 0.9623 0.636033376368058 2
"136" 7 1 0.5 0.7 8 0.9641 0.635858058835518 2
"137" 7 1 0.125 0.6 8 0.9608 0.635711778053665 2
"138" 8 1 0.125 0.1 8 0.9595 0.635629909824096 2
"139" 8 3 0.5 0.2 1024 0.9928 0.635598728926776 2
"140" 8 1 0.5 0.7 0.25 0.9588 0.635482520608244 2
"141" 7 1 2 0.4 2 0.9681 0.635108550445944 2
"142" 8 1 0.125 0.2 256 0.9621 0.635059018926754 2
"143" 8 1 0.5 0.7 1 0.9618 0.634715704500135 2
"144" 7 1 0.5 0.1 16 0.9606 0.634699297795422 2
"145" 8 1 0.125 0.1 256 0.9607 0.634585005390652 2
"146" 7 1 0.5 0.6 0.25 0.9583 0.634583148344591 2
"147" 7 1 0.5 0.4 16 0.9647 0.634444762506836 2
"148" 7 1 0.125 0.5 16 0.9614 0.634346020592383 2
"149" 8 1 0.5 0.2 32 0.9644 0.634336798069996 2
"150" 3 1 2 0.7 1 0.9613 0.634313575015209 2
"151" 6 1 2 0.8 0.5 0.9632 0.63422969622867 2
"152" 7 1 0.5 0.4 1 0.9608 0.634178100537967 2
"153" 6 1 0.5 0.5 1 0.9605 0.634177158988366 2
"154" 7 1 0.03125 0.1 10000 0.9599 0.634117144285655 2
"155" 7 1 0.125 0.1 512 0.9603 0.634107899569248 2
"156" 8 1 0.5 0.3 32 0.9661 0.634105193068302 2
"157" 4 2 2 0.4 256 0.9904 0.634055882162615 2
"158" 8 1 2 0.2 1 0.9648 0.63396206373243 2
"159" 7 1 0.5 0.1 4 0.9597 0.633868713326682 2
"160" 4 2 2 0.3 128 0.9894 0.633588594236238 2
"161" 7 1 0.5 0.9 0.25 0.9584 0.633540717197906 2
"162" 7 1 0.5 0.1 8 0.96 0.6335022515946 2
"163" 4 1 2 0.6 1 0.9627 0.633440033432672 2
"164" 8 1 0.5 0.3 4 0.9631 0.633406421331436 2
"165" 8 1 0.125 0.2 10000 0.9662 0.633404272752679 2
"166" 7 1 0.125 0.1 128 0.9599 0.633205228456044 2
"167" 8 1 0.125 0.2 512 0.9628 0.633050281189781 2
"168" 7 1 0.5 0.1 32 0.9615 0.63280835104707 2
"169" 7 1 0.125 0.1 64 0.9598 0.632718652562442 2
"170" 8 3 0.125 0.3 10000 0.992 0.632711303853213 2
"171" 8 1 0.5 0.1 128 0.9633 0.632629244193737 2
"172" 8 3 2 0.2 4 0.9918 0.632569083253445 2
"173" 7 1 0.125 0.6 16 0.9616 0.632392006013076 2
"174" 8 2 0.5 0.1 0.5 0.9707 0.632379621285279 2
"175" 7 1 0.5 0.6 16 0.9649 0.632273018525018 2
"176" 8 3 0.125 0.1 512 0.9892 0.632257338082388 2
"177" 4 3 2 0.1 8 0.9891 0.632020101532327 2
"178" 8 1 0.125 0.2 64 0.9609 0.631955587427105 2
"179" 8 1 0.125 0.1 128 0.9603 0.631915306865057 2
"180" 8 1 2 0.1 0.25 0.9565 0.631904459743924 2
"181" 8 1 0.5 0.2 4 0.9616 0.631852210255119 2
"182" 4 1 2 0.4 1 0.9623 0.631792371637108 2
"183" 8 1 0.125 0.2 128 0.9613 0.631754719619413 2
"184" 7 1 0.03125 0.1 256 0.9595 0.631750964223693 2
"185" 8 3 2 0.1 2 0.9878 0.631744549402912 2
"186" 5 2 0.5 0.1 2 0.9819 0.631616039748657 1
"187" 8 1 0.5 0.8 0.25 0.959 0.631513754313309 2
"188" 8 3 0.125 0.1 1024 0.9894 0.631507373149631 2
"189" 8 1 0.5 0.1 0.5 0.9578 0.631411417700748 2
"190" 7 1 0.5 0.4 2 0.9617 0.631389707950545 2
"191" 8 1 0.03125 0.2 1024 0.9605 0.631255593726191 2
"192" 7 1 0.125 0.1 256 0.96 0.63104614407928 2
"193" 7 1 0.125 0.5 1024 0.9649 0.631020403578795 2
"194" 8 1 0.03125 0.1 128 0.9595 0.631014640886167 2
"195" 4 2 2 0.3 256 0.9898 0.630953342959571 2
"196" 8 1 0.125 0.4 256 0.9644 0.630916865168954 2
"197" 7 1 0.5 0.1 128 0.9631 0.630857920294378 2
"198" 7 1 0.03125 0.1 512 0.9596 0.630589947732646 2
"199" 7 1 0.125 0.6 32 0.9621 0.630469058714695 2
"200" 5 1 2 0.5 0.5 0.9621 0.630449437715154 2
"201" 3 2 2 0.3 64 0.9884 0.630413087587038 2
"202" 8 1 0.125 0.3 10000 0.9675 0.630408559342178 2
"203" 4 2 2 0.1 16 0.9864 0.630404739541174 2
"204" 7 1 0.5 0.6 8 0.9639 0.630373659880004 2
"205" 7 1 0.5 0.8 4 0.9629 0.630357336147092 2
"206" 8 1 0.125 0.1 4 0.959 0.630283739891854 2
"207" 4 1 2 0.6 2 0.9638 0.63009586173024 2
"208" 7 1 2 0.1 0.25 0.9565 0.62993690208017 2
"209" 7 1 0.5 0.1 0.5 0.9575 0.629853432514134 2
"210" 8 1 0.5 0.9 64 0.9681 0.629840518675728 2
"211" 7 1 0.125 0.1 10000 0.9627 0.62975546171293 2
"212" 7 1 0.125 0.4 10000 0.9675 0.629650242839117 2
"213" 7 1 0.03125 0.1 1024 0.9596 0.629560629558247 2
"214" 4 1 2 0.5 2 0.9637 0.629525976389609 2
"215" 4 3 2 0.1 4 0.9885 0.629517682106902 2
"216" 7 1 0.5 0.7 0.25 0.9584 0.629485066488714 2
"217" 7 1 0.125 0.5 8 0.9608 0.629445054229558 2
"218" 7 1 0.03125 0.1 128 0.9594 0.629415041919672 2
"219" 8 1 0.03125 0.1 64 0.9594 0.629369855605458 2
"220" 8 1 0.5 0.8 4 0.9642 0.629311091519677 2
"221" 7 1 0.125 0.1 32 0.9596 0.629239033507158 2
"222" 8 2 2 0.1 0.5 0.9806 0.629204823250955 2
"223" 8 1 0.5 0.4 8 0.9648 0.629125359060902 2
"224" 8 1 0.5 0.6 4 0.9643 0.629121295265948 2
"225" 3 1 0.5 0.9 512 0.9624 0.629118951358789 2
"226" 8 3 0.5 0.3 256 0.9927 0.629039721907938 2
"227" 8 1 0.125 0.4 512 0.9651 0.628903186096872 2
"228" 6 1 2 0.9 0.5 0.9627 0.628886834378271 2
"229" 8 1 0.0078125 0.1 1024 0.9593 0.628877766452935 2
"230" 8 1 0.03125 0.3 10000 0.9631 0.628852174611439 2
"231" 7 1 0.5 0.4 4 0.9627 0.628599218703325 2
"232" 8 1 2 0.3 0.5 0.9646 0.628594174889765 2
"233" 8 1 0.5 0.9 128 0.9689 0.628523728987235 2
"234" 8 1 0.5 0.2 2 0.9609 0.628522195867675 2
"235" 7 1 0.125 0.5 512 0.9641 0.628496800821038 2
"236" 8 1 0.125 0.1 16 0.9598 0.628459392758523 2
"237" 7 3 2 0.3 4 0.9922 0.628453810428633 2
"238" 8 1 0.5 0.2 0.5 0.9586 0.628331800872699 2
"239" 3 1 2 0.5 1 0.9608 0.628262994135081 2
"240" 7 1 0.0078125 0.1 10000 0.9594 0.628194257990642 2
"241" 7 1 0.125 0.4 64 0.9624 0.628132316601786 2
"242" 4 1 2 0.9 0.25 0.9582 0.628084613087141 2
"243" 8 1 0.125 0.6 8 0.9614 0.628006026918433 2
"244" 3 2 0.5 0.1 10000 0.986 0.627876965034162 2
"245" 7 1 0.5 0.2 8 0.9614 0.62784541978078 2
"246" 7 1 0.5 0.4 8 0.9637 0.627797338763262 2
"247" 6 1 0.5 0.6 1 0.9608 0.627780357081249 2
"248" 7 1 0.125 0.3 1024 0.9641 0.627777417833057 2
"249" 8 1 0.5 0.3 256 0.9688 0.62774726563802 2
"250" 7 1 0.5 0.3 64 0.9656 0.627712046392292 2
"251" 5 1 2 0.5 0.25 0.9593 0.62755721740027 2
"252" 8 1 0.03125 0.1 32 0.9593 0.627552918838003 2
"253" 6 1 2 0.3 0.25 0.9592 0.627536882754076 2
"254" 8 3 0.125 0.3 1024 0.9911 0.627364217527373 2
"255" 7 1 0.5 0.3 8 0.963 0.627348094928159 2
"256" 8 3 2 0.1 4 0.9891 0.627273005884355 2
"257" 8 1 0.125 0.2 32 0.9608 0.627253108080012 2
"258" 8 1 0.0078125 0.1 512 0.9593 0.627208408531616 2
"259" 3 1 2 0.6 0.5 0.9601 0.627201204508307 2
"260" 7 1 0.125 0.6 64 0.9628 0.627153171305052 2
"261" 8 1 2 0.3 0.25 0.9612 0.627117567545196 2
"262" 4 2 2 0.1 64 0.9868 0.627095094959578 2
"263" 8 1 0.03125 0.1 256 0.9596 0.627049986084857 2
"264" 8 1 0.125 0.4 1024 0.9658 0.626999403206684 2
"265" 8 1 0.03125 0.2 128 0.96 0.626861395554812 2
"266" 7 1 0.5 0.4 0.5 0.9596 0.626839009220053 2
"267" 8 1 0.125 0.5 128 0.964 0.626832535979852 2
"268" 8 1 0.03125 0.2 512 0.9604 0.626799724633599 2
"269" 7 1 0.125 0.2 512 0.9617 0.626745991276033 2
"270" 8 3 0.125 0.3 512 0.9909 0.626719265300325 2
"271" 7 1 0.5 0.9 128 0.9677 0.626663275280918 2
"272" 7 1 0.125 0.2 256 0.9611 0.626506729935543 2
"273" 8 1 0.125 0.6 2 0.9599 0.626397249474576 2
"274" 8 3 2 0.3 4 0.9928 0.626345445247915 2
"275" 4 3 0.5 0.1 512 0.9891 0.626326090825143 2
"276" 7 1 0.125 0.5 4 0.9599 0.626281248808845 2
"277" 5 3 2 0.2 0.25 0.9809 0.626276252748059 1
"278" 8 1 0.03125 0.2 256 0.9602 0.626140478635905 2
"279" 7 1 0.03125 0.5 64 0.9602 0.626115726883255 2
"280" 7 1 0.125 0.2 1024 0.9627 0.625979685053086 2
"281" 7 1 0.125 0.6 128 0.9631 0.625864520276929 2
"282" 8 1 0.001953125 0.1 10000 0.9591 0.625808929840304 2
"283" 7 1 0.5 0.2 1 0.9594 0.625796404363512 2
"284" 6 1 0.5 0.5 2 0.9613 0.625729067044959 2
"285" 8 1 0.03125 0.2 10000 0.9615 0.625712965925376 2
"286" 7 1 0.125 0.5 256 0.9635 0.625643418165838 2
"287" 6 1 2 0.7 0.5 0.9631 0.625568566271191 2
"288" 8 1 0.5 0.6 0.25 0.9589 0.625477764391044 2
"289" 8 1 0.125 0.6 4 0.9608 0.625474614201147 2
"290" 8 1 0.0078125 0.2 10000 0.9604 0.625461868730495 2
"291" 8 1 2 0.4 1 0.9679 0.625435884387387 2
"292" 8 3 0.5 0.3 128 0.9923 0.625384838850904 2
"293" 7 1 0.5 0.8 8 0.9638 0.625350960514437 2
"294" 7 3 2 0.2 16 0.9926 0.625249167608859 2
"295" 7 1 0.125 0.4 32 0.9617 0.625249031723609 2
"296" 8 1 0.125 0.5 2 0.9597 0.625202137545776 2
"297" 7 1 0.125 0.5 32 0.9621 0.6251771729328 2
"298" 7 1 0.5 0.2 2 0.9603 0.625145127018152 2
"299" 8 1 0.5 0.3 64 0.9672 0.625068727057175 2
"300" 8 3 0.5 0.3 64 0.9919 0.625016977028604 2
"301" 8 1 0.125 0.1 64 0.9601 0.624992942380274 2
"302" 8 1 0.5 0.3 512 0.9699 0.624892354762209 2
"303" 7 1 0.125 0.4 256 0.9633 0.624871061985498 2
"304" 8 3 0.5 0.1 32 0.9894 0.624834950085075 2
"305" 4 1 2 0.7 2 0.9639 0.624715267956832 2
"306" 8 1 2 0.5 1 0.9687 0.624679605332018 2
"307" 8 1 0.03125 0.6 32 0.9603 0.624583345031637 2
"308" 7 3 0.5 0.3 256 0.9922 0.624533366743671 2
"309" 7 3 2 0.2 4 0.9913 0.624481352394776 2
"310" 8 1 0.125 0.2 16 0.9604 0.624460141130374 2
"311" 3 1 2 0.9 0.5 0.9601 0.624437575113828 2
"312" 7 1 0.5 0.5 0.25 0.9581 0.624419682402032 2
"313" 8 3 2 0.2 8 0.9926 0.624278119477079 2
"314" 3 1 2 0.9 4 0.9625 0.624255081849977 2
"315" 3 2 2 0.4 32 0.9884 0.624237896497931 2
"316" 7 1 0.5 0.2 4 0.9609 0.62409330320262 2
"317" 4 2 2 0.1 128 0.9869 0.624071028067219 2
"318" 7 1 0.125 0.4 128 0.9628 0.624047539692214 2
"319" 8 1 0.5 0.7 4 0.9644 0.623922894868226 2
"320" 7 1 2 0.4 0.25 0.9606 0.623889883429403 2
"321" 7 1 2 0.3 0.5 0.9631 0.62383737731036 2
"322" 8 1 0.5 0.5 0.25 0.9588 0.623784912722173 2
"323" 7 1 2 0.3 4 0.9683 0.623762487322294 2
"324" 7 1 0.5 0.1 256 0.9632 0.623687477460457 2
"325" 7 1 0.0078125 0.1 1024 0.9592 0.623682822250863 2
"326" 7 1 0.125 0.2 128 0.9608 0.623668415413938 2
"327" 8 1 0.001953125 0.2 10000 0.9597 0.623636409255363 2
"328" 8 1 0.125 0.5 8 0.9613 0.623630598846944 2
"329" 8 1 0.03125 0.1 512 0.9596 0.623564340498091 2
"330" 8 1 0.03125 0.2 64 0.9599 0.623533864062263 2
"331" 8 1 0.5 0.2 1 0.96 0.623499268158295 2
"332" 8 1 0.0078125 0.5 512 0.9603 0.623360107262474 2
"333" 7 1 2 0.3 16 0.971 0.623336013949314 2
"334" 8 1 0.125 0.1 10000 0.9629 0.623261511551646 2
"335" 5 1 2 0.9 0.5 0.9619 0.623257917509139 2
"336" 8 1 0.0078125 0.1 10000 0.9594 0.623205705835443 2
"337" 7 1 0.03125 0.5 128 0.9606 0.623161102697046 2
"338" 7 1 0.5 0.9 4 0.963 0.623066542987682 2
"339" 8 1 0.125 0.3 256 0.9637 0.62292792437469 2
"340" 8 1 0.0078125 0.2 1024 0.9598 0.622902838486638 2
"341" 7 1 0.03125 0.5 256 0.961 0.622846882288156 2
"342" 8 1 2 0.8 0.25 0.9616 0.622791718064786 2
"343" 7 1 0.03125 0.4 256 0.9608 0.622776901849476 2
"344" 7 1 0.0078125 0.5 1024 0.9601 0.622770040619834 2
"345" 3 2 2 0.5 128 0.9892 0.622758955287827 2
"346" 8 1 0.03125 0.1 1024 0.9596 0.622652430250702 2
"347" 8 1 0.0078125 0.1 256 0.9593 0.622632265621272 2
"348" 7 1 0.5 0.4 64 0.9667 0.622610974976591 2
"349" 8 1 0.03125 0.4 10000 0.9641 0.622610240020339 2
"350" 3 1 2 0.9 8 0.9631 0.622569413673969 2
"351" 8 1 0.5 0.4 1 0.9614 0.62255479896327 2
"352" 7 1 0.125 0.8 16 0.9617 0.622463155206101 2
"353" 4 4 2 0.1 0.5 0.9788 0.622394679273056 1
"354" 7 1 2 0.1 8 0.9641 0.622289602273929 2
"355" 8 2 2 0.2 0.25 0.9798 0.622283199715662 2
"356" 8 1 0.5 0.5 16 0.9663 0.622279633282779 2
"357" 7 1 2 0.4 1 0.9663 0.62210362112335 2
"358" 8 1 0.125 0.6 1 0.9587 0.622006974534958 2
"359" 7 3 2 0.3 8 0.9929 0.621996328388991 2
"360" 7 1 0.125 0.4 16 0.9611 0.621988954697302 2
"361" 3 1 2 0.7 4 0.9627 0.621945571612716 2
"362" 7 1 0.5 0.1 64 0.962 0.621945301821556 2
"363" 7 1 0.03125 0.6 256 0.9612 0.621893582189429 2
"364" 3 2 2 0.1 32 0.9864 0.621855525774084 2
"365" 3 2 2 0.5 64 0.9889 0.621802240955653 2
"366" 7 1 0.03125 0.4 128 0.9603 0.621790582956467 2
"367" 8 1 0.5 0.3 2 0.9619 0.6217044551399 2
"368" 4 2 0.5 0.2 1024 0.9873 0.621702201283114 2
"369" 8 1 0.5 0.4 512 0.9713 0.621690137866166 2
"370" 3 1 0.125 0.9 10000 0.9612 0.621630148571857 2
"371" 8 1 0.5 0.9 2 0.9631 0.621622477959062 2
"372" 6 1 0.5 0.6 0.5 0.9596 0.621530889956813 2
"373" 8 1 0.125 0.2 8 0.96 0.621503571894251 2
"374" 8 1 0.125 0.1 32 0.9599 0.621403021141771 2
"375" 7 1 0.0078125 0.4 10000 0.9611 0.621398634206533 2
"376" 8 1 2 0.5 0.5 0.9658 0.621397799140029 2
"377" 6 1 0.5 0.5 0.5 0.9594 0.621359426296136 2
"378" 8 1 0.03125 0.6 16 0.9598 0.621296553824238 2
"379" 7 1 0.125 0.5 128 0.9631 0.621295063078806 2
"380" 8 1 0.03125 0.6 128 0.9611 0.62115943876037 2
"381" 7 1 0.5 0.2 0.5 0.9584 0.621062257694924 2
"382" 4 1 0.5 0.5 16 0.9617 0.620976940078223 2
"383" 8 1 2 0.6 1 0.969 0.620890105487168 2
"384" 8 1 0.001953125 0.1 1024 0.9592 0.620764541641279 2
"385" 7 1 0.125 0.4 8 0.9605 0.620760765359751 2
"386" 8 1 0.03125 0.2 32 0.9598 0.620748440712648 2
"387" 4 1 0.5 0.6 64 0.9627 0.620739525408513 2
"388" 7 1 0.5 0.3 128 0.9667 0.620618982426758 2
"389" 4 1 2 0.4 8 0.9648 0.620593602692193 2
"390" 7 1 0.125 0.7 256 0.9637 0.620584850189274 2
"391" 7 1 2 0.3 2 0.967 0.620567484478119 2
"392" 8 1 0.03125 0.5 32 0.9604 0.620546443828755 2
"393" 8 1 0.125 0.5 4 0.9607 0.620475133010433 2
"394" 7 1 0.125 0.2 64 0.9606 0.620456200219013 2
"395" 7 1 0.5 0.7 16 0.965 0.620350637381732 2
"396" 4 1 0.5 0.4 1024 0.9647 0.620345679763253 2
"397" 8 1 0.125 0.6 16 0.962 0.620332607691756 2
"398" 7 1 0.0078125 0.5 512 0.9596 0.620282048442478 2
"399" 6 1 2 0.6 1 0.9653 0.62028039908795 2
"400" 7 1 0.125 0.6 2 0.9591 0.620279831310091 2
"401" 8 1 0.5 0.4 32 0.9667 0.620251886201441 2
"402" 8 1 0.001953125 0.3 10000 0.9601 0.620225968328203 2
"403" 7 1 0.03125 0.6 1024 0.9622 0.620161554475785 2
"404" 7 1 0.125 0.2 32 0.9606 0.620144276174882 2
"405" 8 1 0.125 0.5 256 0.9647 0.620101178151319 2
"406" 7 1 0.125 0.6 4 0.9599 0.620015527463181 2
"407" 7 1 0.125 0.7 64 0.9629 0.620014800175163 2
"408" 7 1 0.03125 0.3 256 0.9605 0.619999526010733 2
"409" 8 1 0.125 0.8 4 0.9609 0.619992624738593 2
"410" 8 1 0.0078125 0.5 1024 0.9606 0.619960827069564 2
"411" 3 1 0.5 0.6 128 0.9616 0.619916566581207 2
"412" 7 1 0.125 0.1 4 0.9587 0.619904888274474 2
"413" 7 1 2 0.4 16 0.9724 0.619836771570911 2
"414" 7 1 0.125 0.7 4 0.9601 0.619836098090237 2
"415" 7 1 0.03125 0.2 10000 0.9609 0.619813133572088 2
"416" 8 1 0.125 0.4 32 0.9622 0.619812822283239 2
"417" 8 3 2 0.3 2 0.9919 0.619787369837828 2
"418" 7 1 0.125 0.8 8 0.9609 0.619769978859346 2
"419" 3 1 0.5 0.9 256 0.9621 0.619766980002374 2
"420" 8 3 0.5 0.3 512 0.9932 0.61976075599839 2
"421" 4 1 2 0.7 1 0.9629 0.619684248358259 2
"422" 8 1 0.03125 0.1 16 0.959 0.619671217783682 2
