0.740008	0.560368	0.810997
0.702101	0.548799	0.750614
0.570251	0.375853	0.634266
0.476720	0.227232	0.522337
0.484137	0.199051	0.455081
0.525340	0.215070	0.422190
0.611042	0.278552	0.443790
0.713226	0.390685	0.532155
0.754429	0.535153	0.683849
0.738772	0.570454	0.725577
0.668315	0.479086	0.638194
0.549238	0.344112	0.520864
0.494438	0.228419	0.422680
0.512155	0.165530	0.357388
0.543057	0.164936	0.316642
0.580552	0.223079	0.328424
0.598681	0.318006	0.411880
0.580140	0.413230	0.553265
0.603214	0.465144	0.594502
0.597033	0.408781	0.537064
0.502266	0.232572	0.436426
0.466419	0.131118	0.359843
0.489905	0.116879	0.318606
0.539761	0.153960	0.317133
0.601154	0.207357	0.374571
0.691389	0.320973	0.509573
0.791924	0.471967	0.668630
0.825299	0.523287	0.716249
0.764318	0.434589	0.660776
0.667491	0.274696	0.559647
0.623815	0.162860	0.480609
0.636176	0.129042	0.432008
0.672023	0.148621	0.419244
0.706222	0.200831	0.459008
0.770087	0.336102	0.598429
0.796044	0.457728	0.729995
0.742480	0.478493	0.764359
0.640297	0.376743	0.693176
0.496498	0.235242	0.590084
0.367944	0.125482	0.503191
0.341986	0.095224	0.451154
0.358055	0.119846	0.436426
0.398022	0.195491	0.478154
0.463123	0.319786	0.588611
0.522044	0.451498	0.728032
0.590853	0.496292	0.784978
0.654306	0.401068	0.708886
0.597033	0.237912	0.616593
0.583436	0.151884	0.551792
0.676967	0.182142	0.533628
0.778739	0.238505	0.560628
0.889576	0.329279	0.636721
0.960033	0.452685	0.771232
0.936959	0.571344	0.922926
0.840956	0.555918	0.897398
0.687268	0.415010	0.760432
0.526988	0.231682	0.605793
0.451998	0.141501	0.486991
0.410383	0.129635	0.414826
0.423156	0.187778	0.400098
0.542233	0.309107	0.451645
0.505974	0.380006	0.583211
0.402143	0.423317	0.678940
0.363824	0.450608	0.640648
0.287598	0.303471	0.526264
0.235682	0.130525	0.403044
0.252163	0.051023	0.323515
0.305315	0.042421	0.294060
0.388133	0.071492	0.298969
0.482489	0.138238	0.357388
0.557066	0.273213	0.514973
0.580552	0.378523	0.620520
0.552534	0.383269	0.618557
0.494026	0.262533	0.527737
0.423568	0.142984	0.426117
0.374124	0.102047	0.351006
0.363412	0.158410	0.314678
